type	pre-condition	post-condition	confidence	SDC
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""disagree"" < 1.3"	"values whose Sentence-BERT embedding distance to ""disagree"" > 1.4500000000000002"	0.9984539859603123	(('sbert', 1, 'disagree', 0.8, 1.3), ('sbert', 1.4500000000000002), 1.159516986510906, 0.0015460140396876807, (0, 2481, 70585, 164613))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""aw"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""aw"" > 1.375"	0.9955215539469773	(('sbert', 1, 'aw', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.0047384533995192, 0.004478446053022703, (1, 1260, 60530, 175888))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""low"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""low"" > 1.35"	0.99415347712645	(('sbert', 1, 'low', 0.8, 1.2000000000000002), ('sbert', 1.35), 0.9608239281337654, 0.005846522873549994, (1, 964, 56940, 179774))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""kate"" < 1.3"	"values whose Sentence-BERT embedding distance to ""kate"" > 1.425"	0.9933208379614603	(('sbert', 1, 'kate', 0.8, 1.3), ('sbert', 1.425), 0.833980655344196, 0.006679162038539717, (58, 11157, 49965, 176499))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2.5"""	0.993270287239052	(('doduo', 'country', 0.8, 4), ('doduo', -2.5), 1.510070391394941, 0.006729712760948046, (0, 567, 111361, 125751))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""disagree"" < 1.3"	"values whose Sentence-BERT embedding distance to ""disagree"" > 1.4000000000000001"	0.9931197088376639	(('sbert', 1, 'disagree', 0.8, 1.3), ('sbert', 1.4000000000000001), 1.686584392211903, 0.006880291162336093, (9, 2472, 145132, 90066))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""kate"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""kate"" > 1.4000000000000001"	0.9928706321115519	(('sbert', 1, 'kate', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 1.3449152070898567, 0.007129367888448107, (0, 535, 92016, 145128))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4"	"values whose Doduo ""team""-classifier scores <= -2.5"""	0.9928649405311556	(('doduo', 'team', 0.8, 4), ('doduo', -2.5), 1.1288491298339056, 0.007135059468844393, (2, 1016, 77392, 159269))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4.5"	"values whose Doduo ""team""-classifier scores <= -2.5"""	0.9927830231680311	(('doduo', 'team', 0.8, 4.5), ('doduo', -2.5), 1.1452572471120774, 0.007216976831968914, (1, 780, 77393, 159505))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4.5"	"values whose Doduo ""country""-classifier scores <= -2"""	0.9909999400245899	(('doduo', 'country', 0.8, 4.5), ('doduo', -2), 1.852063855294154, 0.00900005997541008, (0, 423, 151556, 85700))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""low"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""low"" > 1.3250000000000002"	0.9908996968234709	(('sbert', 1, 'low', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.2185445613741985, 0.009100303176529108, (3, 962, 90145, 146569))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""usa"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""usa"" > 1.375"	0.9908272792434106	(('sbert', 1, 'usa', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.222068450478795, 0.009172720756589417, (8, 1708, 93149, 142814))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4.5"	"values whose Doduo ""team""-classifier scores <= -2"""	0.9907112200444768	(('doduo', 'team', 0.8, 4.5), ('doduo', -2), 1.4701771846475558, 0.009288779955523234, (2, 779, 118524, 118374))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""insurance"" < 1.3"	"values whose Sentence-BERT embedding distance to ""insurance"" > 1.4000000000000001"	0.9906774259738013	(('sbert', 1, 'insurance', 0.8, 1.3), ('sbert', 1.4000000000000001), 1.0181245760098627, 0.009322574026198741, (51, 7132, 72078, 158418))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""feb"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""feb"" > 1.375"	0.9902951079421668	(('sbert', 1, 'feb', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.0867401719887897, 0.009704892057833234, (0, 392, 63430, 173857))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2"""	0.9900780789872251	(('doduo', 'country', 0.8, 4), ('doduo', -2), 1.768845970353439, 0.009921921012774853, (1, 566, 151555, 85557))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4"	"values whose Doduo ""team""-classifier scores <= -2"""	0.989940532835068	(('doduo', 'team', 0.8, 4), ('doduo', -2), 1.4469646017006756, 0.010059467164931998, (4, 1014, 118522, 118139))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""bm"" < 1.3"	"values whose Sentence-BERT embedding distance to ""bm"" > 1.4000000000000001"	0.989663455079784	(('sbert', 1, 'bm', 0.8, 1.3), ('sbert', 1.4000000000000001), 0.9476944343420457, 0.010336544920216007, (109, 12598, 64818, 160154))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""volvo"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""volvo"" > 1.35"	0.9895563742654447	(('sbert', 1, 'volvo', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.6538151972269624, 0.010443625734555309, (0, 364, 128497, 108818))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""kate"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""kate"" > 1.375"	0.9894889863811628	(('sbert', 1, 'kate', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.612966759033955, 0.010511013618837179, (1, 534, 133786, 103358))
CTA	"80 % column values have their Doduo ""category""-classifier scores >= 4"	"values whose Doduo ""category""-classifier scores <= -2"""	0.9886811206731355	(('doduo', 'category', 0.8, 4), ('doduo', -2), 0.9801790463893427, 0.011318879326864501, (10, 1611, 68465, 167593))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""jun"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""jun"" > 1.35"	0.9886463646494016	(('sbert', 1, 'jun', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.2196221114270263, 0.01135363535059839, (1, 494, 87961, 149223))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""honduras"" < 1.1"	"values whose Sentence-BERT embedding distance to ""honduras"" > 1.375"	0.9883531974135464	(('sbert', 1, 'honduras', 0.8, 1.1), ('sbert', 1.375), 1.6421050542812095, 0.01164680258645362, (0, 326, 127132, 110221))
